GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_008467-RB	3632	2709	3457	2978	2295	2939	2718	3274	2535	2737	2643	2921
Caust.v2_008467-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008469-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008469-RA	219	402	263	446	314	205	158	307	264	250	286	221
Caust.v2_008469-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008471-RC	68	86	98	112	75	75	134	114	87	56	81	77
Caust.v2_008472-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008473-RA	35	15	32	26	14	27	32	35	53	20	15	31
Caust.v2_008476-RA	300	192	295	235	252	284	112	246	309	233	152	145
Caust.v2_008485-RA	3653	3879	3635	4870	3933	3310	3847	4073	3307	3056	3653	4929
Caust.v2_008487-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008487-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008487-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008491-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008492-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008474-RA	1	0	1	0	0	4	2	1	1	0	0	8
Caust.v2_008480-RA	2	0	1	1	0	0	1	1	0	0	0	0
Caust.v2_008457-RA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_008478-RA	70	79	82	63	32	92	51	62	88	48	95	56
Caust.v2_008484-RA	4	6	3	8	5	6	9	8	11	6	2	6
Caust.v2_008458-RA	43	24	30	25	24	27	22	20	46	22	23	20
Caust.v2_008462-RA	5	1	0	3	1	0	1	3	4	2	2	1
Caust.v2_008479-RA	1	0	2	1	2	0	0	2	3	0	2	0
Caust.v2_008482-RA	49	52	42	77	29	59	98	72	73	30	33	264
Caust.v2_013155-RA	1	3	0	1	0	2	2	4	11	1	1	3
Caust.v2_013159-RA	5051	5918	5404	6686	4892	7268	4743	6230	8017	4442	5666	6449
Caust.v2_013162-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013162-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013162-RC	59	67	66	74	64	47	45	84	47	69	65	69
Caust.v2_013162-RC	3824	4300	3909	5228	4063	3322	3027	4138	3851	3066	3701	3837
